Graph	Implementation	ExperimentType	SourceSnapshotID	PBSJobIDs	RequestedBatch	EffectiveBatch	SubBatch	NumSubs	Trials	Warmup	Aggregation	TimingScope	CodePath	CorrectnessLevel	SourceFiles	Status	UsedInThesis	MissingReason
roadNet-PA;roadNet-TX	gpu_opt(shared|block)	kernel_selection	phase_def_block_20260710	2354329;2354330	512	512	512	1	3	none	median	full_BC	src/proposed/host_um.cu(BC_FORCE_BFS_KERNEL)	max_bc_only(shared==block)	result/tuning/kernel_selection/	DONE	YES(設計根拠)	2グラフのみ
benchmark_7000_41459;benchmark_11023_62184;56438_300801;325557_3216152	Ablation_H{0,1}_W{0,1}_A{0,1}	ablation(8構成)	phase_def_block_20260710	2354994	512	512	512	1	5	none	median	full_BC	src/proposed/host_ablation.cu	none(dir内max_bc無)	result/ablation/synthetic_2354994/	DONE	SUPPORTS(A内部)	build_miyabiからcopy
email-EuAll	Ablation_H{0,1}_W{0,1}_A{0,1}	ablation(8構成)	phase_def_block_20260710	2354999	512	512	512	1	3	none	median	full_BC	src/proposed/host_ablation.cu	none	result/ablation/email_2354999/	DONE	SUPPORTS(A内部)	build_miyabiからcopy
325557_3216152	gpu_opt(UM)	memory_scalability	oldtree_f05ec52_20260512	UMv2	512-16384	512-10240(b12288 OOM_OR_FAIL exit137,n=1,原因独立未確認)	動的(SUB_BATCH<Batch)	>1(oversub時)	5(b12288のみ1)	none(実験時snapshotスクリプト+log/TSV 1:1)	median	full_BC	src/proposed/host_um.cu	max_bc_only(39343001000.11)	result/memory_scalability/	DONE	CONSTRAINED(B feasibility)	時間値非採用(旧tree);全ベクトル未照合
325557_3216152	gpu_opt_pure	memory_scalability	oldtree_f05ec52_20260512	UMv2	512-16384	512-4096(b8192+ CUDA OOMログ確認)	not_applicable	1	5	not_recorded(実験時ドライバ未保存;log 40実行=TSV 40試行)	median	full_BC	src/proposed/host_pure.cu	max_bc_only	result/memory_scalability/	DONE	CONSTRAINED(B feasibility)	OOM境界=証拠;時間値非採用
325557_3216152	gpu_opt_pure_chunked	memory_scalability	oldtree_f05ec52_20260512	UMv2	512-16384	512-16384(全SUCCESS)	動的	>1	5	none(実験時snapshotスクリプト+log/TSV 1:1)	median	full_BC	src/proposed/host_chunked.cu	max_bc_only	result/memory_scalability/	DONE	CONSTRAINED(B feasibility)	時間値非採用
small(bench_7000,11023,56438,random)	Sequential;OpenMP;cuGraph_BC;GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked;PathMerge_BC	seven_implementations(legacy,shared)	oldtree_f05ec52_20260512	legacy	default	default	not_recorded	not_recorded	5	none	median	full_BC	旧shared	max_bc_only	result/main_performance/seven_implementations/legacy_partial/small/	DONE	SUPPORTED_WITH_LIMITATIONS	提案系=旧shared;Seq欠(56438)
medium(325557,amazon0302/0505,email,web-Google/ND)	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked;PathMerge_BC	seven_implementations(legacy,4impl)	oldtree_f05ec52_20260512	legacy	default	default	not_recorded	not_recorded	5	none	median	full_BC	旧shared	max_bc_only	result/main_performance/seven_implementations/legacy_partial/medium/	DONE	PARTIAL	Seq/OMP/cuGraph欠;提案系旧shared
large(roadNet-PA/TX/CA)	GPU_Opt_Pure;PathMerge_BC(+chunked)	seven_implementations(legacy,baseline)	oldtree_f05ec52_20260512	legacy	default	default	not_recorded	not_recorded	3	none	median	full_BC	旧shared	max_bc_only(GPU_Opt_Pure==PathMerge)	result/main_performance/seven_implementations/legacy_partial/large/	DONE	PathMerge=baseline使用;提案系置換	Seq/OMP/cuGraph欠;提案系旧shared(proposed_variantsに置換)
n/a	nsys;bandwidth	profiling	phase_def_block_20260710	2359175	n/a	n/a	n/a	n/a	1	none	n/a	nsys trace	src/proposed/host_ablation.cu	n/a	result/profiling/	DONE	帯域YES;um_prefetch=CONSTRAINED	um_prefetch=25秒部分トレース
325557_3216152	gpu_opt(UM);gpu_opt_pure;gpu_opt_pure_chunked;pathmerge_bc	memory_path_correctness_matrix	memory_correctness_20260712	2368587.opbs	1024;9792;16384;4096	1024;9792;16384;4096	1024/6596(b9792,b16384)	1-3	1	none	not_applicable	correctness_only	src/proposed/host_um.cu;host_pure.cu;host_chunked.cu;src/baseline/pathmerge.cu	full_vector_same_impl(same_batch mismatch0,非byte);max_bc_only(cross)	result/correctness/memory_paths/canonical_job_2368587/	CORE_FAIL(runner 6/6 OK)	CONSTRAINED(memory-path)	stress full-vector未支持(和集合8頂点);PathMerge cross未解決(11027,max_rel≈2e-3);非byte一致;325557限定 | SUPERSEDED_BY corrected job 2404743(mismatch0);historical malformed-input,現行claim非使用
325557_3216152	gpu_opt(UM) CONTROL/T-RESET/T-NSEFF	memory_path_diagnostic(T-RESET/T-NSEFF)	memory_diagnostic_20260713	2369632.opbs	1024	1024	1024	1	1	none	not_applicable	correctness_only	src/proposed/host_um.cu(BC_DIAG_FORCE_FULL_RESET/NS_EFF_ONE)	full_vector_same_impl(CONTROL vs T-* mismatch0)	result/correctness/memory_paths/diagnostic_job_2369632/	DIAGNOSTIC_COMPLETE	SUPPORTS(memory-path診断)	reset/NS_eff単独で差再現せず(RESET/NS_EFF_NOT_DISTINGUISHED);原因未特定
325557_3216152	gpu_opt(UM) b10240;pathmerge_bc b4096	memory_path_correctness(OOM)	memory_correctness_oom_20260712	2368269.opbs	10240;4096	10240;4096	6596;not_applicable	2;80	1	none	not_applicable	correctness_only	src/proposed/host_um.cu;src/baseline/pathmerge.cu	none(OOM)	failure/failed/oom/memory_correctness_2368269/	FAILED_OOM(gpu_opt b10240 exit137)	NO(failure)	UM b10240 がhost-memory-limited 100 GiB configurationでOOM;空vector=OOM証跡(EXTERNAL_ARTIFACTS);PathMerge referenceは成功
325557_3216152	pathmerge_bc b4096;gpu_opt_pure b1024	memory_path_correctness(fail-fast)	memory_correctness_failfast_20260712	2368398.opbs	4096;1024	4096;1024	not_applicable	80;not_applicable	1	none	not_applicable	correctness_only	src/baseline/pathmerge.cu;src/proposed/host_pure.cu	none(comparison mismatch)	failure/early_terminated/memory_correctness_2368398/	EARLY_TERMINATED(comparison mismatch fail-fast)	NO(failure)	pure vs PathMerge不一致11027でfail-fast;後続chunked/UM未実行
325557_3216152_corrected_v1	gpu_opt(UM);gpu_opt_pure;gpu_opt_pure_chunked;pathmerge_bc	memory_path_correctness_matrix(corrected)	corrected325557_ab_20260717	2404743.opbs	1024;9792;16384;4096	1024;9792;16384;4096	1024;6596	1-3	1	none	not_applicable	correctness_only	src/proposed/host_um.cu;host_pure.cu;host_chunked.cu;src/baseline/pathmerge.cu	full_vector all 10 pairs mismatch0(非byte;same_impl_diff_batch stressもPASS);pathmerge_cross abs-only	result/correctness/corrected_325557/	ALL_PASS(10/10 mismatch0)	SUPPORTS(RQ4 corrected)	修正版のみ;PathMerge非ground truth;max_rel<=5.09e-13;旧CORE_FAILを置換(historical保持)
325557_3216152_corrected_v1	gpu_opt(UM);gpu_opt_pure;gpu_opt_pure_chunked	memory_feasibility_boundary(corrected)	corrected325557_ab_20260717	2404743.opbs	4096;8192;10240;12288;16384	pure<=4096;um<=10240;chunked<=16384	動的	1-3	1	none	single_run	feasibility	src/proposed/host_um.cu;host_pure.cu;host_chunked.cu	none(feasibility)	result/memory_scalability/corrected_325557/	BOUNDARY_CONFIRMED	CONSTRAINED(RQ3 corrected)	pure_b8192=CUDA OOM;um_b12288=host/cgroup OOM kill(exit137,非CUDA/非HBM);chunked b16384=success;1 trial/config;入力43.25MiB(working set依存)
325557_3216152_corrected_v1	Ablation_H{0,1}_W{0,1}_A{0,1}	ablation(8構成,corrected)	corrected325557_ablation_20260718	2406254.opbs	512	512	512	1	5	one untimed H1W1A1 per trial invocation(x5;統計非算入)	median	full_BC	src/proposed/host_ablation.cu	none(dir内max_bc無)	result/ablation/corrected_325557/	DONE(40 rows;完全性PASS)	SUPPORTS(A内部,RQ2)	H=1.4767 W=1.1012 A=1.5563;合成4集約=mixed-checkpoint(他3=job2354994)
