=== BC Ablation Experiment ===
Project : /work/gj17/j17000/m5291091/lab/thesis_bc_project
Runner  : /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation
Graphs  : benchmark_7000_41459 benchmark_11023_62184 56438_300801 325557_3216152
Mode    : all   Trials: 5
Result  : /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_ablation_20260710_182735_2354994
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_7000_41459 all  (trial 5)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/benchmark_11023_62184 all  (trial 5)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/56438_300801 all  (trial 5)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 1)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 2)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 3)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 4)
[RUN] /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/run_ablation /work/gj17/j17000/m5291091/lab/thesis_bc_project/data/325557_3216152 all  (trial 5)
=== Ablation Complete ===
Config	Graph	Trial	Time_sec	GTEPS
Ablation_H0_W1_A0	56438_300801	3	3.971102	4.2750
Ablation_H0_W1_A1	56438_300801	3	3.217845	5.2758
Ablation_H1_W0_A0	56438_300801	3	2.012500	8.4356
Ablation_H1_W0_A1	56438_300801	3	1.619469	10.4828
Ablation_H1_W1_A0	56438_300801	3	2.083729	8.1472
Ablation_H1_W1_A1	56438_300801	3	1.651386	10.2802
Ablation_H0_W0_A0	56438_300801	4	3.977577	4.2681
Ablation_H0_W0_A1	56438_300801	4	3.277497	5.1797
Ablation_H0_W1_A0	56438_300801	4	3.965917	4.2806
Ablation_H0_W1_A1	56438_300801	4	3.225628	5.2630
Ablation_H1_W0_A0	56438_300801	4	2.012922	8.4338
Ablation_H1_W0_A1	56438_300801	4	1.617956	10.4926
Ablation_H1_W1_A0	56438_300801	4	2.081052	8.1577
Ablation_H1_W1_A1	56438_300801	4	1.649608	10.2913
Ablation_H0_W0_A0	56438_300801	5	3.986843	4.2582
Ablation_H0_W0_A1	56438_300801	5	3.276129	5.1819
Ablation_H0_W1_A0	56438_300801	5	3.971307	4.2748
Ablation_H0_W1_A1	56438_300801	5	3.224815	5.2644
Ablation_H1_W0_A0	56438_300801	5	2.009440	8.4484
Ablation_H1_W0_A1	56438_300801	5	1.619542	10.4823
Ablation_H1_W1_A0	56438_300801	5	2.085697	8.1395
Ablation_H1_W1_A1	56438_300801	5	1.648082	10.3008
Ablation_H0_W0_A0	325557_3216152	1	176.499175	5.9323
Ablation_H0_W0_A1	325557_3216152	1	112.107097	9.3396
Ablation_H0_W1_A0	325557_3216152	1	163.700166	6.3961
Ablation_H0_W1_A1	325557_3216152	1	100.931930	10.3737
Ablation_H1_W0_A0	325557_3216152	1	124.594405	8.4036
Ablation_H1_W0_A1	325557_3216152	1	81.684899	12.8180
Ablation_H1_W1_A0	325557_3216152	1	115.602630	9.0572
Ablation_H1_W1_A1	325557_3216152	1	73.160699	14.3115
Ablation_H0_W0_A0	325557_3216152	2	176.273764	5.9399
Ablation_H0_W0_A1	325557_3216152	2	112.121695	9.3384
Ablation_H0_W1_A0	325557_3216152	2	163.758087	6.3938
Ablation_H0_W1_A1	325557_3216152	2	100.747634	10.3927
Ablation_H1_W0_A0	325557_3216152	2	124.550105	8.4066
Ablation_H1_W0_A1	325557_3216152	2	81.702279	12.8153
Ablation_H1_W1_A0	325557_3216152	2	115.679890	9.0512
Ablation_H1_W1_A1	325557_3216152	2	73.361727	14.2723
Ablation_H0_W0_A0	325557_3216152	3	176.377429	5.9364
Ablation_H0_W0_A1	325557_3216152	3	112.126686	9.3380
Ablation_H0_W1_A0	325557_3216152	3	163.775986	6.3931
Ablation_H0_W1_A1	325557_3216152	3	100.774364	10.3900
Ablation_H1_W0_A0	325557_3216152	3	124.607520	8.4027
Ablation_H1_W0_A1	325557_3216152	3	81.658002	12.8223
Ablation_H1_W1_A0	325557_3216152	3	115.627324	9.0553
Ablation_H1_W1_A1	325557_3216152	3	73.171411	14.3094
Ablation_H0_W0_A0	325557_3216152	4	176.371341	5.9366
Ablation_H0_W0_A1	325557_3216152	4	112.140839	9.3368
Ablation_H0_W1_A0	325557_3216152	4	163.723856	6.3952
Ablation_H0_W1_A1	325557_3216152	4	100.920807	10.3749
Ablation_H1_W0_A0	325557_3216152	4	124.580846	8.4045
Ablation_H1_W0_A1	325557_3216152	4	81.911587	12.7826
Ablation_H1_W1_A0	325557_3216152	4	115.678980	9.0513
Ablation_H1_W1_A1	325557_3216152	4	73.110497	14.3213
Ablation_H0_W0_A0	325557_3216152	5	176.369826	5.9366
Ablation_H0_W0_A1	325557_3216152	5	112.345169	9.3199
Ablation_H0_W1_A0	325557_3216152	5	163.865469	6.3896
Ablation_H0_W1_A1	325557_3216152	5	100.784210	10.3889
Ablation_H1_W0_A0	325557_3216152	5	124.448354	8.4135
Ablation_H1_W0_A1	325557_3216152	5	81.685797	12.8179
Ablation_H1_W1_A0	325557_3216152	5	115.678792	9.0513
Ablation_H1_W1_A1	325557_3216152	5	73.225436	14.2989

=== 自動サマリ生成 (寄与表 + 交互作用 + フェーズ帰属) ===
  読み込み: 4 グラフ × 8 構成
  フェーズ帰属: ablation.log を解析 (8 構成)
  → /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_ablation_20260710_182735_2354994/ablation_summary.md
  → /work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_ablation_20260710_182735_2354994/ablation_contributions.tsv


# 単独寄与 (add-one): T(H0W0A0) / T(その工夫だけ ON)

| 工夫 | benchmark_7000_41459 | benchmark_11023_62184 | 56438_300801 | 325557_3216152 | 幾何平均 |
|:-----|------:|------:|------:|------:|------:|
| H (ハイブリッド BFS) | 1.491× | 1.852× | 1.976× | 1.416× | 1.667× |
| W (Warp 協調蓄積) | 1.169× | 1.017× | 1.002× | 1.077× | 1.064× |
| A (2 ストリーム非同期初期化) | 1.265× | 1.625× | 1.214× | 1.573× | 1.407× |

# 除外寄与 (leave-one-out): T(full から 1 つ OFF) / T(H1W1A1)

| 工夫 | benchmark_7000_41459 | benchmark_11023_62184 | 56438_300801 | 325557_3216152 | 幾何平均 |
|:-----|------:|------:|------:|------:|------:|
| H (ハイブリッド BFS) | 1.642× | 1.702× | 1.957× | 1.377× | 1.657× |
| W (Warp 協調蓄積) | 1.227× | 0.988× | 0.983× | 1.116× | 1.074× |
| A (2 ストリーム非同期初期化) | 1.249× | 1.519× | 1.264× | 1.581× | 1.396× |

# 主効果 (フル要因): 他 2 軸で平均した T(F=0)/T(F=1) の幾何平均

| 工夫 | benchmark_7000_41459 | benchmark_11023_62184 | 56438_300801 | 325557_3216152 | 幾何平均 |
|:-----|------:|------:|------:|------:|------:|
| H (ハイブリッド BFS) | 1.536× | 1.782× | 1.965× | 1.395× | 1.655× |
| W (Warp 協調蓄積) | 1.175× | 1.007× | 0.992× | 1.096× | 1.065× |
| A (2 ストリーム非同期初期化) | 1.234× | 1.577× | 1.238× | 1.576× | 1.396× |

# 交互作用チェック (単独寄与 vs 除外寄与 の相対差)

閾値 10% 超で「交互作用あり」と判定 (単独と最終系で工夫の効き方が異なる = 他工夫との相互作用)。

| 工夫 | グラフ | 単独寄与 | 除外寄与 | 相対差 | 判定 |
|:-----|:-----|------:|------:|------:|:----:|
| H | benchmark_7000_41459 | 1.491× | 1.642× | 9.2% | — |
| H | benchmark_11023_62184 | 1.852× | 1.702× | 8.9% | — |
| H | 56438_300801 | 1.976× | 1.957× | 1.0% | — |
| H | 325557_3216152 | 1.416× | 1.377× | 2.8% | — |
| W | benchmark_7000_41459 | 1.169× | 1.227× | 4.7% | — |
| W | benchmark_11023_62184 | 1.017× | 0.988× | 2.9% | — |
| W | 56438_300801 | 1.002× | 0.983× | 2.0% | — |
| W | 325557_3216152 | 1.077× | 1.116× | 3.5% | — |
| A | benchmark_7000_41459 | 1.265× | 1.249× | 1.3% | — |
| A | benchmark_11023_62184 | 1.625× | 1.519× | 6.9% | — |
| A | 56438_300801 | 1.214× | 1.264× | 4.0% | — |
| A | 325557_3216152 | 1.573× | 1.581× | 0.5% | — |
